Região Geográfica,UF,Regional de Saúde,Município,Código IBGE,Tipo da Instituição,Sigla da Instituição,Nome da Instiuição,Nome do escritório regional/local,CNPJ do escritório regional/local,Tipo da Forma de Abastecimento,Código Forma de abastecimento,Nome da Forma de Abastecimento,Nome da ETA/UTA,Ano de referência,Tipo de captação,Categoria do manancial superficial,Nome do manancial superficial,Categoria do ponto de captação subterrâneo,Nome do ponto de captação subterrâneo,Outorga,Latitude,Longitude,Vazão,Latitude_corrigida,Longitude_corrigida
SUL,RS,12ª CRS,PORTO XAVIER,431510,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL MISSOES SURMIS,92802784036623.0,SAA,S431510000001,PORTO XAVIER,ETA DE PORTO XAVIER,2024,SUPERFICIAL,rio,RIO URUGUAI,,,N,"-27,8983536","-55,1377573",32.0,-27.8983536,-55.1377573
SUL,RS,3ª CRS,CANGUCU,430450,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S430450000001,CANGUÇU,ETA DE CANGUÇU,2024,SUPERFICIAL,acude,ACUDE DISTRITO INDUSTRIAL,,,S,"-31,374967","-52,374967",53.47,-31.374967,-52.374967
SUL,RS,3ª CRS,CANGUCU,430450,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S430450000001,CANGUÇU,ETA DE CANGUÇU,2024,SUPERFICIAL,barragem,DA OLARIA,,,S,"-31,374287","-52,668037",53.47,-31.374287,-52.668037
SUL,RS,3ª CRS,CANGUCU,430450,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S430450000001,CANGUÇU,ETA DE CANGUÇU,2024,SUPERFICIAL,arroio,PANTANOSO,,,S,"-31,343165","-52,706398",53.47,-31.343165,-52.706398
SUL,RS,18ª CRS,CAPAO DA CANOA,430463,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL LITORAL SURLIT,92802784036704.0,SAA,S430463000002,CAPÃO DA CANOA,ETA II DE CAPÃO DA CANOA,2024,SUPERFICIAL,lagoa,DOS QUADROS,,,S,"-29,7539491","-50,0506417",253.45,-29.7539491,-50.0506417
SUL,RS,18ª CRS,CAPAO DA CANOA,430463,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL LITORAL SURLIT,92802784036704.0,SAA,S430463000003,CURUMIM,ETA DE CURUMIM,2024,SUPERFICIAL,rio,CORNELIOS,,,S,"-29,6047751","-49,991868",151.0,-29.6047751,-49.991868
SUL,RS,18ª CRS,CAPAO DA CANOA,430463,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL LITORAL SURLIT,92802784036704.0,SAA,S430463000004,ARROIO TEIXEIRA,CURUMIM,2024,SUPERFICIAL,rio,CORNELIOS,,,S,"-29,604463","-49,991091",151.0,-29.604463,-49.991091
SUL,RS,8ª CRS,CACAPAVA DO SUL,430280,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S430280000001,CAÇAPAVA DO SUL,ETA DE CAÇAPAVA DO SUL,2024,SUPERFICIAL,arroio,DO SALSO,,,S,"-30,5733187","-53,4687357",92.45,-30.5733187,-53.4687357
SUL,RS,8ª CRS,CACAPAVA DO SUL,430280,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S430280000001,CAÇAPAVA DO SUL,ETA DE CAÇAPAVA DO SUL,2024,SUPERFICIAL,arroio,FONTE DO MATO,,,S,"-30,5432638","-53,482073",92.5,-30.5432638,-53.482073
SUL,RS,8ª CRS,CACAPAVA DO SUL,430280,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S430280000002,MINAS DO CAMAQUÃ,ETA DE MINAS DO CAMAQUÃ,2024,SUPERFICIAL,arroio,DO SALSO,,,S,"-30,5733187","-53,4687357",15.21,-30.5733187,-53.4687357
SUL,RS,2ª CRS,PLANALTO,431470,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431470000001,PLANALTO,ETA DE PLANALTO,2024,SUPERFICIAL,rio,RIO DO MEL,,,S,"-27,373249","-53,0335695",39.68,-27.373249,-53.0335695
SUL,RS,3ª CRS,PEDRO OSORIO,431420,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S431420000002,PEDRO OSÓRIO,ETA DE PEDRO OSÓRIO,2024,SUPERFICIAL,arroio,ARROIO BASILIO,,,S,"-31,8619788","-52,8381417",45.47,-31.8619788,-52.8381417
SUL,RS,1ª CRS,CAMAQUA,430350,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S430350000001,CAMAQUA,ETA DE CAMAQUÃ,2024,SUPERFICIAL,arroio,ARROIO DURO,,,S,"-30,8224264","-51,8436023",191.53,-30.8224264,-51.8436023
SUL,RS,1ª CRS,BUTIA,430270,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S430270000001,BUTIÁ,ETA DE BUTIÁ,2024,SUPERFICIAL,rio,RIO JACUI,,,N,"-29,95194","-51,925227",80.0,-29.95194,-51.925227
SUL,RS,13ª CRS,CANDELARIA,430420,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL CENTRAL SURCEN,92802784036208.0,SAA,S430420000001,CANDELÁRIA,ETA DE CANDELÁRIA,2024,SUPERFICIAL,rio,RIO PARDO,,,S,"-29,6419876","-52,7894324",50.58,-29.6419876,-52.7894324
SUL,RS,3ª CRS,CAPAO DO LEAO,430466,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S430466000001,CAPÃO DO LEÃO,ETA DE CAPÃO DO LEÃO,2024,SUPERFICIAL,arroio,DO PADRE DOUTOR,,,S,"-31,757275","-52,4885878",54.73,-31.757275,-52.4885878
SUL,RS,3ª CRS,CAPAO DO LEAO,430466,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S430466000001,CAPÃO DO LEÃO,ETA EMBRAPA,2024,SUPERFICIAL,canal,CANAL DE SAO GONCALO,,,S,"-31,816723","-52,391909",20.0,-31.816723,-52.391909
SUL,RS,1ª CRS,CACHOEIRINHA,430310,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S430310000001,CACHOEIRINHA,ETA DE CACHOEIRINHA,2024,SUPERFICIAL,arroio,DAS GARCAS RIO BRANCO,,,S,"-29,961355","-51,204818",405.41,-29.961355,-51.204818
SUL,RS,1ª CRS,CACHOEIRINHA,430310,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S430310000001,CACHOEIRINHA,ETA DE CACHOEIRINHA,2024,SUPERFICIAL,arroio,DAS GARCAS NITEROI,,,S,"-29,955046","-51,205323",405.41,-29.955046,-51.205323
SUL,RS,1ª CRS,CAMBARA DO SUL,430360,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S430360000001,CAMBARÁ DO SUL,ETA DE CAMBARÁ DO SUL,2024,SUPERFICIAL,arroio,CAMPO BOM,,,S,"-29,0354995","-51,1384939",8.43,-29.0354995,-51.1384939
SUL,RS,14ª CRS,CAMPINA DAS MISSOES,430370,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL MISSOES SURMIS,92802784036623.0,SAA,S430370000001,CAMPINA DAS MISSÕES,ETA DE CAMPINA DAS MISSÕES,2024,SUPERFICIAL,arroio,PESSEGUEIRO,,,S,"-27,9881505","-54,8439153",10.0,-27.9881505,-54.8439153
SUL,RS,2ª CRS,PALMITINHO,431380,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431380000001,PALMITINHO,ETA DE PALMITINHO,2024,SUPERFICIAL,rio,RIO GUARITA,,,N,"-27,3906267","-53,5671627",23.49,-27.3906267,-53.5671627
SUL,RS,4ª CRS,NOVA ESPERANCA DO SUL,431303,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S431303000001,NOVA ESPERANÇA DO SUL,ETA DE NOVA ESPERANÇA DO SUL,2024,SUPERFICIAL,sanga,DOS VIELMO,,,N,"-29,412785","-54,8327083",16.0,-29.412785,-54.8327083
SUL,RS,16ª CRS,ARROIO DO MEIO,430100,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S430100000001,ARROIO DO MEIO,ETA DE ARROIO DO MEIO,2024,SUPERFICIAL,rio,RIO TAQUARI,,,S,"-29,4016814","-51,9357613",29.78,-29.4016814,-51.9357613
SUL,RS,18ª CRS,TORRES,432150,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL LITORAL SURLIT,92802784036704.0,SAA,S432150000002,TORRES,ETA DE TORRES,2024,SUPERFICIAL,lagoa,ITAPEVA,,,S,"-29,382906","-49,827558",319.98,-29.382906,-49.827558
SUL,RS,1ª CRS,TRES COROAS,432170,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SINOS SURSIN,92802784031150.0,SAA,S432170000001,TRÊS COROAS,ETA DE TRÊS COROAS,2024,SUPERFICIAL,rio,RIO PARANHANA,,,S,"-29,4982822","-50,7767866",68.57,-29.4982822,-50.7767866
SUL,RS,14ª CRS,BOA VISTA DO BURICA,430220,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL MISSOES SURMIS,92802784036623.0,SAA,S430220000001,BOA VISTA DO BURICÁ,ETA DE BOA VISTA DO BURICÁ,2024,SUPERFICIAL,rio,RIO INHACORA,,,S,"-27,696034","-54,1084374",19.5,-27.696034,-54.1084374
SUL,RS,5ª CRS,BOM JESUS,430230,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S430230000001,BOM JESUS,ETA DE BOM JESUS,2024,SUPERFICIAL,arroio,ESTAQUEADOR,,,S,"-28,6628236","-50,4309918",35.45,-28.6628236,-50.4309918
SUL,RS,10ª CRS,BARRA DO QUARAI,430187,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL FRONTEIRA SURFRO,92802784036542.0,SAA,S430187000001,BARRA DO QUARAÍ,ETA COMPACTA,2024,SUPERFICIAL,rio,RIO QUARAI,,,S,"-30,213443","-57,554449",20.0,-30.213443,-57.554449
SUL,RS,1ª CRS,MONTENEGRO,431240,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S431240000001,MONTENEGRO,ETA I DE MONTENEGRO,2024,SUPERFICIAL,rio,RIO CAI,,,S,"-29,6980124","-51,4597199",69.56,-29.6980124,-51.4597199
SUL,RS,1ª CRS,MONTENEGRO,431240,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S431240000001,MONTENEGRO,ETA II DE MONTENEGRO,2024,SUPERFICIAL,rio,RIO CAI,,,S,"-29,6694437","-51,4288668",142.97,-29.6694437,-51.4288668
SUL,RS,5ª CRS,BENTO GONCALVES,430210,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S430210000001,BENTO GONÇALVES,ETA DE BENTO GONÇALVES,2024,SUPERFICIAL,rio,BURATI,,,S,"-29,1659208","-51,4647643",292.0,-29.1659208,-51.4647643
SUL,RS,5ª CRS,BENTO GONCALVES,430210,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S430210000001,BENTO GONÇALVES,ETA DE BENTO GONÇALVES,2024,SUPERFICIAL,arroio,BARRACAO,,,S,"-29,1670867","-51,4821895",91.0,-29.1670867,-51.4821895
SUL,RS,5ª CRS,NOVA PETROPOLIS,431320,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S431320000001,NOVA PETRÓPOLIS,ETA DE NOVA PETRÓPOLIS,2024,SUPERFICIAL,arroio,ACKERMANN,,,S,"-29,3865931","-51,0949752",23.1,-29.3865931,-51.0949752
SUL,RS,5ª CRS,NOVA PETROPOLIS,431320,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S431320000001,NOVA PETRÓPOLIS,ETA DE NOVA PETRÓPOLIS,2024,SUPERFICIAL,arroio,SANTA ISABEL,,,S,"-29,3932421","-51,0858502",23.1,-29.3932421,-51.0858502
SUL,RS,5ª CRS,NOVA PRATA,431330,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S431330000001,NOVA PRATA,ETA DE NOVA PRATA,2024,SUPERFICIAL,rio,RIO DA PRATA,,,S,"-28,680074","-51,622316",31.0,-28.680074,-51.622316
SUL,RS,5ª CRS,NOVA PRATA,431330,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL NORDESTE SURNE,92802784036895.0,SAA,S431330000001,NOVA PRATA,ETA DE NOVA PRATA,2024,SUPERFICIAL,arroio,RETIRO,,,S,"-28,830272","-51,586953",58.0,-28.830272,-51.586953
SUL,RS,6ª CRS,MAXIMILIANO DE ALMEIDA,431220,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431220000001,MAXIMILIANO DE ALMEIDA,ETA DE MAXIMILIANO DE ALMEIDA,2024,SUPERFICIAL,rio,LAJEADO RODRIGUES,,,S,"-27,6360559","-51,8054884",11.42,-27.6360559,-51.8054884
SUL,RS,11ª CRS,MARCELINO RAMOS,431190,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431190000001,MARCELINO RAMOS,ETA DE MARCELINO RAMOS,2024,SUPERFICIAL,rio,RIO URUGUAI,,,S,"-27,481167","-51,9035431",20.0,-27.481167,-51.9035431
SUL,RS,5ª CRS,VACARIA,432250,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S432250000001,VACARIA,ETA DE VACARIA,2024,SUPERFICIAL,arroio,DA CHACARA,,,S,"-28,4622513","-50,9191626",189.78,-28.4622513,-50.9191626
SUL,RS,1ª CRS,MARIANA PIMENTEL,431198,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S431198000001,MARIANA PIMENTEL,ETA DE MARIANA PIMENTEL,2024,SUPERFICIAL,arroio,RIBEIRO PEQUENO  AFLUENTE,,,S,"-30,3604192","-51,602933",4.4,-30.3604192,-51.602933
SUL,RS,6ª CRS,LAGOA VERMELHA,431130,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431130000001,LAGOA VERMELHA,ETA DE LAGOA VERMELHA,2024,SUPERFICIAL,rio,RIO PASSINHO FUNDO,,,S,"-28,2428571","-51,5426367",88.26,-28.2428571,-51.5426367
SUL,RS,14ª CRS,TRES DE MAIO,432180,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL MISSOES SURMIS,92802784036623.0,SAA,S432180000001,TRÊS DE MAIO,ETA DE TRÊS DE MAIO,2024,SUPERFICIAL,rio,RIO BURICA,,,N,"-27,795991","-54,1611922",69.43,-27.795991,-54.1611922
SUL,RS,1ª CRS,TRIUNFO,432200,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S432200000004,BARRETO,ETA DE BARRETO,2024,SUPERFICIAL,rio,RIO TAQUARI,,,S,"-29,8665623","-51,7162799",7.98,-29.8665623,-51.7162799
SUL,RS,1ª CRS,TRIUNFO,432200,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S432200000002,III PÓLO PETROQUÍMICO,ETA DO III PÓLO PETROQUÍMICO,2024,SUPERFICIAL,rio,RIO CAI,,,S,"-29,8648885","-51,3646555",24.1,-29.8648885,-51.3646555
SUL,RS,1ª CRS,TRIUNFO,432200,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S432200000001,TRIUNFO,ETA DE TRIUNFO,2024,SUPERFICIAL,rio,RIO JACUI,,,S,"-29,9460252","-51,7206619",40.0,-29.9460252,-51.7206619
SUL,RS,4ª CRS,UNISTALDA,432237,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S432237000001,UNISTALDA,ETA DE UNISTALDA,2024,SUPERFICIAL,rio,RESTINGA DOS LOPES,,,N,"-29,0388506","-55,1632448",7.12,-29.0388506,-55.1632448
SUL,RS,15ª CRS,SARANDI,432010,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S432010000001,SARANDI,ETA DE SARANDI,2024,SUPERFICIAL,rio,CATARITE,,,S,"-27,9466435","-52,9051939",55.27,-27.9466435,-52.9051939
SUL,RS,2ª CRS,SEBERI,432020,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S432020000001,SEBERI,ETA DE SEBERI,2024,SUPERFICIAL,rio,LAJEADO DO MICO,,,S,"-27,4923","-53,386",16.0,-27.4923,-53.386
SUL,RS,2ª CRS,SEBERI,432020,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S432020000001,SEBERI,ETA DE SEBERI,2024,SUPERFICIAL,rio,FORTALEZA,,,S,"-27,5141446","-53,4246529",16.72,-27.5141446,-53.4246529
SUL,RS,1ª CRS,TAQUARA,432120,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SINOS SURSIN,92802784031150.0,SAA,S432120000001,TAQUARA,ETA DE TAQUARA,2024,SUPERFICIAL,rio,RIO DOS SINOS,,,S,"-29,6775001","-50,7801331",147.93,-29.6775001,-50.7801331
SUL,RS,6ª CRS,SERTAO,432050,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S432050000001,SERTÃO,ETA DE SERTÃO,2024,SUPERFICIAL,arroio,SERTAO,,,S,"-27,9775319","-52,2823548",20.0,-27.9775319,-52.2823548
SUL,RS,10ª CRS,ITAQUI,431060,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL FRONTEIRA SURFRO,92802784036542.0,SAA,S431060000001,ITAQUI,ETA DE ITAQUI,2024,SUPERFICIAL,rio,RIO URUGUAI,,,S,"-29,1167967","-56,5438334",122.26,-29.1167967,-56.5438334
SUL,RS,18ª CRS,IMBE,431033,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL LITORAL SURLIT,92802784036704.0,SAA,S431033000001,IMBÉ,ETA DE IMBÉ,2024,SUPERFICIAL,lagoa,DOS VEADOS,,,S,"-29,9095135","-50,1618882",500.0,-29.9095135,-50.1618882
SUL,RS,4ª CRS,SILVEIRA MARTINS,432065,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL CENTRAL SURCEN,92802784036208.0,SAA,S432065000001,SILVEIRA MARTINS,ETA DE SILVEIRA MARTINS,2024,SUPERFICIAL,arroio,DO VEADO,,,S,"-29,6404624","-53,5858892",10.0,-29.6404624,-53.5858892
SUL,RS,6ª CRS,SOLEDADE,432080,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S432080000001,SOLEDADE,ETA DE SOLEDADE,2024,SUPERFICIAL,rio,ESPRAIADO,,,S,"-28,7245919","-52,5618552",84.45,-28.7245919,-52.5618552
SUL,RS,11ª CRS,SAO VALENTIM,431970,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431970000001,SÃO VALENTIM,ETA DE SÃO VALENTIM,2024,SUPERFICIAL,arroio,LAGOA DO MEIO,,,S,"-27,5726922","-52,541631",7.43,-27.5726922,-52.541631
